Judul Berita,Link Berita,Link Gambar,Tema Berita
"PNS yang ke IKN Bakal Diseleksi Ketat, Ini Syaratnya!",https://www.cnbcindonesia.com/news/20240131051257-4-510311/pns-yang-ke-ikn-bakal-diseleksi-ketat-ini-syaratnya,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-17_43.jpeg?w=152&q=90,Kemenkes
Menteri PANRB: Ada 671.731 ASN Pensiun hingga 2027,https://www.cnbcindonesia.com/news/20240105180131-4-503147/menteri-panrb-ada-671731-asn-pensiun-hingga-2027,https://awsimages.detik.net.id/visual/2023/03/29/press-statement-thr-dan-gaji-13_43.png?w=152&q=90,Kemenkes
"CPNS 2023 Ditutup 3 Hari Lagi, 5 Instansi Ini Sepi Pendaftar",https://www.cnbcindonesia.com/news/20231006073005-4-478350/cpns-2023-ditutup-3-hari-lagi-5-instansi-ini-sepi-pendaftar,https://awsimages.detik.net.id/visual/2021/06/29/cover-topik-cpns-2021konten_43.png?w=152&q=90,Kemenkes
Cek Yuk! 6 Instansi Ini Buka Formasi CASN 2023 Terbanyak,https://www.cnbcindonesia.com/news/20230925111019-4-475230/cek-yuk-6-instansi-ini-buka-formasi-casn-2023-terbanyak,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-9_43.jpeg?w=152&q=90,Kemenkes
"Daftar CPNS & PPPK 7 Instansi Ini Tidak Syaratkan TOEFL, Cek!",https://www.cnbcindonesia.com/news/20230922181902-4-474852/daftar-cpns-pppk-7-instansi-ini-tidak-syaratkan-toefl-cek,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-11_43.jpeg?w=152&q=90,Kemenkes
"Skema Baru! PNS Bisa Cepat Naik Jabatan, Asal..",https://www.cnbcindonesia.com/news/20230713165111-4-454068/skema-baru-pns-bisa-cepat-naik-jabatan-asal,https://awsimages.detik.net.id/visual/2023/06/23/selamat-pns-ini-kebagian-rezeki-nomplok-dari-jokowi_43.png?w=152&q=90,Kemenkes
"Lowongan CPNS Segera Buka, Cek Gaji PNS Terkini",https://www.cnbcindonesia.com/news/20230317051239-4-422417/lowongan-cpns-segera-buka-cek-gaji-pns-terkini,https://awsimages.detik.net.id/visual/2021/10/21/skd-cpns-kemenkumham-jatim-bernuansa-squid-game-dok-kemenkumham-jatim-3_43.jpeg?w=152&q=90,Kemenkes
"Siap-siap CPNS 2023 Dibuka, Posisi Ini Paling Dibutuhkan!",https://www.cnbcindonesia.com/news/20230208100752-4-412015/siap-siap-cpns-2023-dibuka-posisi-ini-paling-dibutuhkan,https://awsimages.detik.net.id/visual/2019/06/10/0b7a2b3f-f195-453b-a463-83c01f434ccb_43.jpeg?w=152&q=90,Kemenkes
"Makin Banyak Lowongan CPNS 2023, Formasi Dibuka Apa Saja?",https://www.cnbcindonesia.com/news/20230206071518-4-411178/makin-banyak-lowongan-cpns-2023-formasi-dibuka-apa-saja,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns_43.jpeg?w=152&q=90,Kemenkes
Siap-siap! Lowongan CPNS 2023 Dibuka Lebih Cepat,https://www.cnbcindonesia.com/news/20230127125756-4-408761/siap-siap-lowongan-cpns-2023-dibuka-lebih-cepat,https://awsimages.detik.net.id/visual/2020/09/01/tes-cpns-di-tengah-pandemi-cnbc-indonesia-andrean-kristianto-22_43.jpeg?w=152&q=90,Kemenkes
